id,created_date,grabbed_date,tweet_age_hours,tweet_id,user_sn,tweet_text,n_retweets.x,n_favorites,created_day,dist_mean,dist_max,n_retweets.y,n_known_retweets,n_domestic,n_same_continent,n_other_continents,max_reach,per_domestic,per_same_continent,per_other_continent,unique_countries,tweeter_city,tweeter_country,tweeter_continent,geo_dist_group,global
4319,2019-11-05T13:57:27Z,2019-11-07T09:40:23Z,43.7155555555556,1191716155511246849,rugbyandthelaw,"Key takeaways on #salarycap here:
- A former Supreme Court judge on the independent panel
- No right of appeal, only review (i.e. very limited chance of overturning/reducing sanctions)
- Saracens already failed in challenging the rules
#sportslaw #Saracens #rugby https://t.co/pxepamqXHZ",3,7,2019-11-05,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
4325,2019-11-05T12:51:02Z,2019-11-07T09:40:23Z,44.8225,1191699441226403842,SportsLawMsia,#sportslaw #antidoping #WADA https://t.co/a8O8nlGSRw,2,0,2019-11-05,0,0,2,2,2,0,0,1,1,0,0,1,Kuala Lumpur,MYS,Asia,Short distance,FALSE
4326,2019-11-05T12:50:27Z,2019-11-07T09:40:23Z,44.8322222222222,1191699297827377152,SportsLawMsia,#sportslaw https://t.co/xR4nMLjR7r,2,0,2019-11-05,0,0,2,2,2,0,0,1,1,0,0,1,Kuala Lumpur,MYS,Asia,Short distance,FALSE
4330,2019-11-05T11:34:38Z,2019-11-07T09:40:23Z,46.0958333333333,1191680214381842432,nickdemarco_,This is a very important case in sports law. Saracens docked 35 points and fined £5.3m for breaching salary cap rules - BBC Sport #sportslaw  https://t.co/QRSgf63Ho2,35,68,2019-11-05,1981.8754076076887,6805.627251176963,7,7,3,2,2,3,0.42857142857142855,0.2857142857142857,0.2857142857142857,4,London,GBR,Europe,Medium distance,TRUE
4332,2019-11-05T11:25:43Z,2019-11-07T09:40:23Z,46.2444444444444,1191677970995458049,KevSportsLaw,"Given what I'd read and heard there seemed little doubt #Saracens had breached. I'm glad sanctions are strong. 
People seem reluctant to use this word for financial breaches in sport, but if upheld, they have cheated.
I look forward to reading full decision.
#SportsLaw #SportsBiz https://t.co/6lEDPQK9od",1,12,2019-11-05,262.16433743995213,262.16433743995213,1,1,1,0,0,1,1,0,0,1,Manchester,GBR,Europe,Short distance,FALSE
4334,2019-11-05T10:56:17Z,2019-11-07T09:40:23Z,46.735,1191670562927579136,rugbyandthelaw,"This is a story of gargantuan proportions.

So many implications for the club, players and league. Not to mention their results, teams defeated &amp; their place in the Heineken Cup.

Looking forward to reading the report. Full analysis to follow in due course. #salarycap #sportslaw https://t.co/uDoNeUxzzs",2,25,2019-11-05,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
4341,2019-11-07T10:03:35Z,2019-11-08T13:01:07Z,26.9588888888889,1192382077066502145,prof_mark_james,"Pitch perfect: why vintage football shirts are a style game-changer: could be relevant for tonight's lecture @PitStop4IP
@GenTactic #sportslaw 
https://t.co/002V6s8O6u",1,2,2019-11-07,267.24965706968834,267.24965706968834,1,1,0,1,0,2,0,1,0,1,Manchester,GBR,Europe,Short distance,FALSE
4344,2019-11-07T08:28:13Z,2019-11-08T13:01:07Z,28.5483333333333,1192358078923960320,sportslawMELB,#sportslaw #esports Fortnite superstar FaZe Jarvis has been permanently banned from Fortnite for cheating - CNN https://t.co/qmgggrW5Pq,9,12,2019-11-07,12447.403819462039,16963.285713040143,5,5,1,0,4,3,0.2,0,0.8,4,Melbourne,AUS,Oceania,Long distance,TRUE
4346,2019-11-07T07:25:46Z,2019-11-08T13:01:07Z,29.5891666666667,1192342362971787266,sportslawMELB,"#sportslaw Saracens rugby union salary cap breach closely following NRL Melbourne Storm case of 2010 eg, ‘Strip Saracens of two Premiership titles’ | Sport | The Times https://t.co/FPibfEQH69",4,2,2019-11-07,11393.729978359204,17213.16024455352,3,3,1,0,2,3,0.3333333333333333,0,0.6666666666666666,3,Melbourne,AUS,Oceania,Long distance,TRUE
4348,2019-11-07T06:19:33Z,2019-11-08T13:01:07Z,30.6927777777778,1192325699274588160,sportslawMELB,#sportslaw #doping Changes to @wada_ama debated this week: look out for Art 8 (fair hearings); Art10.2.4 (illict drug use); Art51 (recreational athletes) &amp; given recent ECtHR case on whereabouts emphasis on athlete health as primary ethical premise of the World Anti-Doping Code. https://t.co/2wUzP8dlHn,1,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4349,2019-11-07T06:07:55Z,2019-11-08T13:01:07Z,30.8866666666667,1192322769536446464,sportslawMELB,the only #sportslaw podcast run by #sportslaw student @ForwardLine_Pod - please have a listen to our @MelbLawSchool students! https://t.co/xOYaaf92Un,2,6,2019-11-07,8481.642856520071,16963.285713040143,2,2,1,0,1,3,0.5,0,0.5,2,Melbourne,AUS,Oceania,Long distance,TRUE
4350,2019-11-07T05:51:51Z,2019-11-08T13:01:07Z,31.1544444444444,1192318728999862272,sportslawMELB,#sportslaw easy to criticize @iocmedia on lots of issues but approach to #boxing has been good. Could have been jettisoned for Tokyo (given what's happening at AIBA) but instead they engaged and got boxers eg @Shelley__Watts of @AUSOlympicTeam etc involved https://t.co/CjqK8C3Gaa,2,1,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4351,2019-11-07T05:41:08Z,2019-11-08T13:01:07Z,31.3330555555556,1192316030963466240,sportslawMELB,"#sportslaw @tariqpanja we have heard these calls before  - WADA Wants Sponsors to Help Finance Antidoping Efforts. Better to see sponsors as a deterrent to doping i.e., get sponsors to try an recoup sponsorship dollars from athletes proven to have doped https://t.co/LAeycsZqkO",1,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4352,2019-11-07T05:37:52Z,2019-11-08T13:01:07Z,31.3875,1192315206552055808,sportslawMELB,"#sportslaw spoke about this at the recent @ANZSLA conference and the how international sports bodies including WADA are ""anxious"" about the extra territorial reach of the (US) Rodchenko Act https://t.co/LAeycsZqkO",1,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4353,2019-11-07T05:33:28Z,2019-11-08T13:01:07Z,31.4608333333333,1192314099385823232,sportslawMELB,"N.C.A.A. Is Sued for Not Paying Athletes as Employees
#sportslaw NCAA's business model under threat from its...workers; ex-Villanova football player files class-action suit arguing that the organization and its member schools had violated minimum wage laws https://t.co/bUAtHsa9X7",2,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4354,2019-11-07T05:27:06Z,2019-11-08T13:01:07Z,31.5669444444444,1192312498147360768,sportslawMELB,"#sportslaw talk about an article that completely and utterly misses the point about the GAA, what it is about and how it functions. Malachy Clerkin, all Oz and no Kansas....Let’s not overstate importance of club championships https://t.co/U3FEEiOyAH via @IrishTimesSport",1,2,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4355,2019-11-07T05:22:40Z,2019-11-08T13:01:07Z,31.6408333333333,1192311384576417793,sportslawMELB,"#sportslaw excellent piece: Trump’s divided society can be blamed for epidemic of racial abuse in school sports, on every index hate crimes have gone up year-on-year since 2016 election. https://t.co/nMf39LPtOy via @IrishTimesSport",1,1,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4356,2019-11-07T05:20:08Z,2019-11-08T13:01:07Z,31.6830555555556,1192310746178179072,sportslawMELB,#sportslaw #GAA GAA now negotiating a collective bargaining agreement with players (interesting in an amateur sport). Interested in @gaelicplayers ideas on competitive balance esp given paucity of ideas on it from GAA e.g  GAA@150 report which was binned https://t.co/YtQTgxOElZ,1,1,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4357,2019-11-07T05:02:22Z,2019-11-08T13:01:07Z,31.9791666666667,1192306275817672705,sportslawMELB,#sportslaw Pay equity deal for the Matildas and the Socceroos could also help Australia's World Cup bid and PFA's prizemoney fight https://t.co/T7A4lK80vk via @theage,1,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4358,2019-11-07T04:59:43Z,2019-11-08T13:01:07Z,32.0233333333333,1192305606775865344,sportslawMELB,"#sportslaw How does sport deal with former and current stars who have socially conservative/controversial views e.g., Margaret Court (whose conservative views are similar in many respects to Israel Falou) https://t.co/5IpnKfgzvX via @theage",1,4,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
